p(SMILES),PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Eg_n(eV).1,Mw (kg/mol),Mn(kg/mol),PDI,HOMO_n(eV).1,'-LUMO_n(eV).1
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C(SC6=C7C8=CC=C(CC(CC)CCCC)S8)=CC6=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C7C=C(C%11=C%12C(C(C%13=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%13C%12=O)=O)=C(C)S%11)S%10)S5,11.82,11.53,18.51,0.63,0.89,1.97,50.0,25.0,2.0,5.52,3.55
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C(SC6=C7C8=CC=C(CC(CC)CCCC)S8)=CC6=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C7C=C(C(SC%11=C%12C%13=CC=C(CC(CC)CCCC)S%13)=CC%11=C(C%14=CC=C(CC(CC)CCCC)S%14)C%15=C%12C=C(C%16=C%17C(C(C%18=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C%18C%17=O)=O)=C(C)S%16)S%15)S%10)S5,11.19,10.9,17.71,0.7,0.85,1.96,50.0,25.0,2.0,5.41,3.45
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C)S5,5.3,5.1,13.7,0.439,0.88,2.13,53.2,24.2,2.2,5.45,3.32
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CC)CCCC)C=C(C7=CC=C(C8=CC(CC(CC)CCCC)=C(C)S8)C9=NSN=C79)S6)S5,6.61,6.61,13.47,0.598,0.822,1.7,35.8,16.0,2.24,5.14,3.44
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CC)CCCC)C=C(C7=NC=C(C8=CC(CC(CC)CCCC)=C(C)S8)N=C7)S6)S5,8.1,7.95,14.6,0.617,0.9,2.02,84.2,52.6,1.6,5.5,3.48
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CC(CCCCCCCC)CCCC)C=C(C(SC7=C8)=NC7=CC9=C8N=C(C%10=CC(CC(CCCC)CCCCCCCC)=C(C)S%10)S9)S6)S5,11.3,11.1,19.7,0.62,0.92,2.1,269.6,107.0,2.52,5.4,3.3
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CCCCCCCC)C(SC(C7=C(C(N(CC(CCCCCC)CCCCCCCC)C8=O)=O)C8=C(C9=CC(SC(C)=C%10CCCCCCCC)=C%10S9)S7)=C%11)=C%11S6)S5,11.05,10.78,17.52,0.68,0.93,1.86,505.0,90.0,5.61,5.23,3.3633333333333333
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CCCCCCCC)C=C(C7=CC8=C(C(SC(C9=CC(CCCCCCCC)=C(C)S9)=C%10)=C%10N(CC(CCCCCC)CCCCCCCC)C8=O)S7)S6)S5,10.34,10.02,15.95,0.728,0.89,2.7,139.7,57.5,2.43,5.4,2.7
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(CCCCCCCCCC)C=C(C7=NC=C(C8=CC(CCCCCCCCCC)=C(C)S8)N=C7)S6)S5,7.6,7.4,16.3,0.581,0.8,1.98,110.8,44.3,2.5,5.41,3.43
CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(F)C(CCCCCC)=C(C)S6)S5,11.1,10.6,17.1,0.628,0.94,2.03,201.0,67.0,3.0,5.51,3.48
